event_id,customer_id,event_type,product,color,price,event_timestamp
919774,322,view,tshirt,green,98.99,2026-01-09 08:02:56.183348
932241,385,add_to_cart,jacket,red,38.12,2025-12-22 08:02:56.183351
938160,199,view,tshirt,blue,37.4,2026-02-15 08:02:56.183354
171578,421,add_to_cart,shoes,green,7.11,2026-01-09 08:02:56.183359
746479,319,add_to_cart,tshirt,red,10.59,2026-02-14 08:02:56.183362
834478,138,add_to_cart,shoes,black,24.69,2026-02-06 08:02:56.183364
123026,42,add_to_cart,tshirt,red,11.15,2026-01-07 08:02:56.183367
130712,13,view,tshirt,red,40.09,2025-12-27 08:02:56.183370
275010,285,add_to_cart,shoes,green,99.36,2026-01-05 08:02:56.183373
289802,165,add_to_cart,socks,white,114.62,2026-01-10 08:02:56.183376
740838,223,purchase,shoes,red,27.13,2026-01-27 08:02:56.183379
340245,315,view,shoes,red,45.26,2026-01-19 08:02:56.183381
878900,470,purchase,jacket,blue,87.16,2025-12-24 08:02:56.183384
441164,76,view,socks,blue,95.51,2026-02-15 08:02:56.183387
621131,369,add_to_cart,socks,blue,114.97,2026-02-07 08:02:56.183390
229684,307,view,socks,red,34.06,2026-01-09 08:02:56.183392
744429,494,purchase,socks,red,68.4,2026-02-05 08:02:56.183395
312316,327,purchase,jacket,red,85.52,2025-12-27 08:02:56.183398
897016,112,purchase,jacket,blue,72.96,2025-12-31 08:02:56.183401
295591,498,purchase,shoes,white,87.26,2026-02-01 08:02:56.183404
744922,220,purchase,jacket,blue,99.46,2026-01-12 08:02:56.183406
456214,375,add_to_cart,shoes,white,36.45,2026-01-20 08:02:56.183409
486752,33,add_to_cart,tshirt,blue,111.39,2026-01-02 08:02:56.183412
515466,77,view,jacket,green,10.09,2026-01-17 08:02:56.183415
677181,99,view,shoes,red,75.28,2026-02-12 08:02:56.183417
783067,374,purchase,socks,green,38.23,2026-02-01 08:02:56.183424
906065,238,view,tshirt,red,13.53,2025-12-27 08:02:56.183427
879042,433,purchase,tshirt,white,14.04,2026-01-29 08:02:56.183430
456587,362,purchase,socks,blue,43.34,2025-12-29 08:02:56.183433
137528,295,view,shoes,blue,79.6,2026-02-03 08:02:56.183436
142673,446,add_to_cart,jacket,green,74.1,2026-01-10 08:02:56.183442
726006,447,purchase,jacket,blue,87.1,2026-01-31 08:02:56.183445
756368,199,purchase,jacket,white,47.7,2026-02-07 08:02:56.183447
981543,47,purchase,socks,red,19.78,2025-12-21 08:02:56.183450
435746,332,add_to_cart,tshirt,red,19.43,2026-02-16 08:02:56.183453
568016,335,add_to_cart,tshirt,green,107.61,2025-12-29 08:02:56.183456
680929,93,purchase,socks,black,116.19,2026-02-18 08:02:56.183459
752572,349,view,jacket,red,91.28,2025-12-23 08:02:56.183461
212887,335,add_to_cart,shoes,white,77.06,2026-01-19 08:02:56.183464
352552,29,add_to_cart,tshirt,blue,35.38,2026-02-07 08:02:56.183467
797304,236,add_to_cart,shoes,red,40.74,2026-01-19 08:02:56.183469
806365,96,add_to_cart,shoes,black,26.49,2026-01-04 08:02:56.183472
601517,182,view,jacket,white,86.55,2026-01-26 08:02:56.183475
159803,54,view,tshirt,red,109.01,2026-01-30 08:02:56.183477
408188,195,purchase,tshirt,black,105.64,2026-02-19 08:02:56.183480
931362,140,add_to_cart,socks,blue,37.32,2026-01-24 08:02:56.183482
834683,353,view,socks,green,32.43,2026-01-12 08:02:56.183485
858704,93,view,shoes,blue,78.64,2026-01-28 08:02:56.183488
514239,405,purchase,jacket,black,98.07,2026-02-19 08:02:56.183493
330782,92,view,socks,white,60.14,2025-12-28 08:02:56.183496
651528,265,add_to_cart,jacket,red,63.45,2026-02-03 08:02:56.183499
111276,188,add_to_cart,tshirt,green,115.94,2026-02-13 08:02:56.183502
165292,382,purchase,socks,green,91.08,2026-02-10 08:02:56.183505
684290,234,add_to_cart,shoes,red,48.71,2026-01-18 08:02:56.183508
962624,474,view,jacket,green,91.95,2026-02-02 08:02:56.183511
449089,419,view,jacket,green,10.13,2026-01-26 08:02:56.183513
793294,87,add_to_cart,socks,blue,75.11,2026-01-16 08:02:56.183516
459070,390,add_to_cart,shoes,black,71.28,2026-01-07 08:02:56.183519
460742,374,add_to_cart,socks,green,97.81,2025-12-24 08:02:56.183521
433826,181,view,socks,red,44.61,2025-12-27 08:02:56.183524
132024,179,purchase,tshirt,black,91.6,2026-01-21 08:02:56.183527
997127,292,purchase,socks,black,11.96,2026-02-10 08:02:56.183529
727527,292,purchase,jacket,blue,93.1,2026-01-29 08:02:56.183532
647390,280,view,tshirt,white,80.55,2026-02-08 08:02:56.183535
508982,274,purchase,socks,red,59.67,2026-02-02 08:02:56.183538
309110,207,purchase,tshirt,green,115.84,2025-12-28 08:02:56.183541
830020,335,view,jacket,black,92.71,2026-01-28 08:02:56.183546
327667,408,purchase,shoes,black,88.0,2026-01-20 08:02:56.183550
499905,166,purchase,socks,black,62.09,2025-12-26 08:02:56.183553
135316,15,add_to_cart,shoes,white,105.3,2026-02-11 08:02:56.183556
257367,370,view,socks,white,110.18,2026-01-15 08:02:56.183562
134555,83,view,jacket,blue,89.26,2026-01-11 08:02:56.183568
343221,170,view,jacket,green,115.85,2026-02-06 08:02:56.183572
619612,115,view,socks,white,51.15,2026-01-10 08:02:56.183577
815904,32,add_to_cart,shoes,white,59.48,2026-01-14 08:02:56.183581
911070,487,view,jacket,black,21.59,2026-02-11 08:02:56.183585
222913,453,view,tshirt,black,62.87,2026-02-07 08:02:56.183599
277807,207,view,shoes,green,101.0,2026-02-09 08:02:56.183602
816475,235,add_to_cart,socks,red,61.47,2026-01-12 08:02:56.183605
411844,354,view,tshirt,red,68.94,2026-01-29 08:02:56.183607
791211,172,add_to_cart,jacket,white,44.29,2026-01-03 08:02:56.183610
483610,395,add_to_cart,shoes,blue,82.8,2026-01-04 08:02:56.183613
130260,29,add_to_cart,socks,black,28.05,2025-12-31 08:02:56.183615
527125,264,add_to_cart,socks,white,61.55,2026-01-20 08:02:56.183618
102243,444,view,jacket,black,72.02,2026-02-05 08:02:56.183621
306591,489,view,jacket,green,108.36,2026-02-08 08:02:56.183626
695094,441,add_to_cart,tshirt,green,79.59,2026-01-31 08:02:56.183629
534568,60,add_to_cart,jacket,black,77.45,2026-01-06 08:02:56.183632
142828,436,view,tshirt,blue,65.73,2026-01-15 08:02:56.183635
799377,417,add_to_cart,shoes,blue,31.7,2026-01-20 08:02:56.183639
432494,429,view,shoes,white,62.02,2026-02-18 08:02:56.183642
418030,284,view,socks,white,8.38,2026-01-29 08:02:56.183644
696611,465,add_to_cart,socks,white,112.03,2026-02-15 08:02:56.183648
676764,25,purchase,tshirt,green,15.34,2026-02-05 08:02:56.183650
368454,489,view,socks,red,33.3,2026-02-19 08:02:56.183653
311620,231,purchase,tshirt,red,16.34,2026-01-14 08:02:56.183655
656975,246,view,tshirt,blue,53.52,2026-02-09 08:02:56.183658
729788,146,add_to_cart,tshirt,black,90.04,2026-01-22 08:02:56.183661
300329,345,add_to_cart,shoes,blue,57.02,2026-02-04 08:02:56.183664
182737,432,add_to_cart,socks,white,31.3,2026-01-20 08:02:56.183667
176929,151,purchase,shoes,white,69.73,2026-01-31 08:02:56.183670
789320,212,purchase,jacket,black,55.15,2026-01-22 08:02:56.183673
389047,148,purchase,tshirt,white,58.51,2026-01-25 08:02:56.183676
129141,259,view,tshirt,green,54.77,2026-01-11 08:02:56.183681
795462,306,add_to_cart,tshirt,white,75.09,2026-02-05 08:02:56.183684
105608,220,view,shoes,white,10.35,2026-01-12 08:02:56.183686
619514,409,purchase,shoes,white,13.41,2026-01-03 08:02:56.183689
438460,177,purchase,socks,black,83.47,2026-01-19 08:02:56.183692
403422,113,purchase,socks,black,6.67,2026-01-05 08:02:56.183695
414834,217,purchase,socks,black,110.56,2026-01-11 08:02:56.183698
897809,279,purchase,tshirt,red,94.48,2026-01-01 08:02:56.183700
758545,260,purchase,jacket,blue,92.63,2026-02-05 08:02:56.183703
846808,224,add_to_cart,tshirt,blue,14.15,2026-01-11 08:02:56.183706
739872,384,view,shoes,red,52.74,2026-02-08 08:02:56.183709
426723,72,purchase,jacket,green,85.18,2026-01-31 08:02:56.183711
656641,277,add_to_cart,socks,black,105.88,2026-02-09 08:02:56.183714
324092,364,purchase,jacket,black,39.81,2026-02-02 08:02:56.183717
736077,295,purchase,shoes,black,81.27,2026-01-24 08:02:56.183721
767329,415,add_to_cart,tshirt,green,102.39,2026-01-14 08:02:56.183724
512243,126,view,tshirt,black,100.04,2026-01-04 08:02:56.183726
971151,181,add_to_cart,socks,red,56.17,2026-01-27 08:02:56.183729
636640,358,view,tshirt,red,7.03,2025-12-28 08:02:56.183743
854284,118,view,socks,black,12.7,2025-12-28 08:02:56.183746
485468,466,purchase,socks,black,102.03,2026-01-10 08:02:56.183749
724163,371,add_to_cart,jacket,red,22.78,2025-12-22 08:02:56.183752
493757,334,add_to_cart,socks,blue,78.98,2026-01-13 08:02:56.183755
476334,159,view,jacket,red,80.46,2025-12-25 08:02:56.183757
940595,6,add_to_cart,tshirt,red,23.16,2026-01-05 08:02:56.183760
473588,33,view,shoes,green,99.47,2025-12-26 08:02:56.183762
913050,19,purchase,tshirt,blue,49.0,2026-01-09 08:02:56.183765
682592,146,purchase,shoes,blue,93.8,2025-12-27 08:02:56.183768
310394,25,add_to_cart,jacket,black,51.56,2026-01-03 08:02:56.183771
408364,209,purchase,tshirt,blue,87.01,2025-12-26 08:02:56.183773
985720,209,view,socks,white,81.94,2026-01-05 08:02:56.183776
930914,300,view,socks,blue,25.14,2026-02-11 08:02:56.183778
419418,275,view,tshirt,red,60.54,2026-01-22 08:02:56.183781
657555,455,add_to_cart,jacket,black,115.94,2026-01-03 08:02:56.183783
815768,18,add_to_cart,jacket,white,76.77,2026-01-24 08:02:56.183786
231320,293,add_to_cart,shoes,blue,91.23,2026-02-18 08:02:56.183789
783285,49,purchase,shoes,white,57.73,2026-02-18 08:02:56.183792
279456,76,purchase,socks,red,98.82,2026-01-17 08:02:56.183797
593777,412,purchase,tshirt,blue,117.46,2026-01-04 08:02:56.183799
150986,376,purchase,socks,blue,58.46,2026-02-09 08:02:56.183802
347316,392,purchase,tshirt,blue,110.67,2026-01-19 08:02:56.183809
694729,419,add_to_cart,shoes,green,51.76,2026-01-27 08:02:56.183815
791595,58,purchase,socks,white,113.79,2026-01-01 08:02:56.183819
426005,292,view,jacket,blue,41.06,2026-01-28 08:02:56.183824
996574,240,add_to_cart,jacket,black,81.33,2025-12-24 08:02:56.183827
338843,309,purchase,socks,blue,79.25,2026-02-03 08:02:56.183830
315959,273,add_to_cart,shoes,red,35.87,2025-12-29 08:02:56.183833
409613,233,add_to_cart,socks,red,12.49,2025-12-23 08:02:56.183836
405463,385,purchase,socks,white,115.19,2026-01-03 08:02:56.183839
777109,42,purchase,tshirt,black,36.76,2026-02-01 08:02:56.183841
248971,61,add_to_cart,socks,red,74.41,2025-12-28 08:02:56.183844
529816,147,purchase,shoes,white,115.43,2026-01-15 08:02:56.183847
363919,287,view,socks,blue,67.66,2026-02-19 08:02:56.183850
493606,398,add_to_cart,socks,green,11.07,2026-02-16 08:02:56.183852
733501,457,view,shoes,black,15.36,2025-12-23 08:02:56.183855
409683,155,add_to_cart,jacket,white,114.47,2025-12-31 08:02:56.183860
666150,228,add_to_cart,tshirt,white,107.12,2026-01-05 08:02:56.183863
770424,33,add_to_cart,tshirt,black,57.85,2026-01-20 08:02:56.183866
599637,171,add_to_cart,socks,red,33.45,2026-01-07 08:02:56.183869
478552,367,view,jacket,green,12.43,2026-01-14 08:02:56.183872
156218,125,add_to_cart,jacket,white,51.34,2026-02-07 08:02:56.183875
791616,450,add_to_cart,jacket,white,92.14,2026-02-12 08:02:56.183878
128336,401,purchase,shoes,black,55.27,2026-01-25 08:02:56.183881
352589,391,add_to_cart,jacket,green,86.1,2026-02-19 08:02:56.183884
968040,104,view,jacket,blue,101.73,2026-02-02 08:02:56.183887
697606,309,add_to_cart,tshirt,black,71.58,2026-01-27 08:02:56.183890
870660,389,add_to_cart,socks,blue,111.56,2026-02-10 08:02:56.183892
339900,496,purchase,socks,white,89.06,2026-01-03 08:02:56.183895
184886,50,purchase,socks,blue,74.6,2026-01-13 08:02:56.183897
977374,436,view,jacket,black,90.31,2026-01-02 08:02:56.183900
876483,10,add_to_cart,jacket,green,72.53,2026-02-08 08:02:56.183902
358470,209,purchase,tshirt,white,66.12,2026-01-07 08:02:56.183905
415799,285,add_to_cart,jacket,green,52.1,2025-12-28 08:02:56.183908
194323,126,add_to_cart,jacket,blue,117.23,2026-02-19 08:02:56.183913
855019,41,purchase,jacket,black,116.51,2026-01-29 08:02:56.183915
898472,110,add_to_cart,shoes,red,74.21,2026-01-04 08:02:56.183918
853428,334,purchase,jacket,black,114.56,2026-01-01 08:02:56.183921
470203,221,add_to_cart,socks,black,86.64,2026-02-07 08:02:56.183923
560962,470,add_to_cart,tshirt,blue,40.63,2026-02-08 08:02:56.183926
169028,223,purchase,jacket,green,63.2,2025-12-24 08:02:56.183929
181947,397,purchase,jacket,green,109.75,2026-01-08 08:02:56.183932
645744,97,view,tshirt,red,96.75,2026-01-28 08:02:56.183934
665418,485,add_to_cart,shoes,black,72.8,2026-01-28 08:02:56.183937
487191,21,view,jacket,red,117.04,2026-02-18 08:02:56.183940
769487,107,purchase,jacket,green,36.39,2026-01-12 08:02:56.183943
133872,162,view,socks,white,76.94,2026-02-18 08:02:56.183945
943890,211,view,socks,green,24.73,2026-01-10 08:02:56.183949
561639,469,view,tshirt,red,70.1,2026-01-09 08:02:56.183951
210659,476,add_to_cart,socks,blue,94.89,2025-12-21 08:02:56.183955
683059,344,purchase,jacket,blue,36.54,2026-01-07 08:02:56.183958
288962,147,view,shoes,black,77.89,2026-01-15 08:02:56.183961
988614,499,purchase,tshirt,green,65.59,2026-01-16 08:02:56.183966
974474,496,purchase,jacket,white,18.49,2026-02-02 08:02:56.183968
110182,25,purchase,shoes,red,19.89,2026-02-16 08:02:56.183971
683656,239,purchase,shoes,black,52.55,2026-01-08 08:02:56.183974
514271,168,view,jacket,red,25.86,2026-02-02 08:02:56.183976
789209,59,purchase,socks,white,111.67,2026-02-05 08:02:56.183984
807467,454,add_to_cart,jacket,red,20.8,2026-02-05 08:02:56.183989
342849,66,purchase,socks,green,22.5,2026-01-22 08:02:56.183993
776759,29,view,socks,blue,17.51,2026-02-02 08:02:56.183997
326755,212,purchase,socks,red,100.79,2026-01-03 08:02:56.184003
891286,447,view,jacket,white,118.43,2026-01-23 08:02:56.184005
689889,169,add_to_cart,shoes,white,92.55,2025-12-22 08:02:56.184009
556062,76,add_to_cart,tshirt,green,81.71,2026-01-03 08:02:56.184011
576479,226,purchase,jacket,blue,38.35,2026-01-19 08:02:56.184014
462885,247,add_to_cart,jacket,black,77.39,2026-01-17 08:02:56.184017
216635,292,add_to_cart,socks,black,95.96,2026-02-01 08:02:56.184019
771657,123,purchase,shoes,black,83.04,2026-02-18 08:02:56.184022
299082,261,view,shoes,green,71.18,2025-12-30 08:02:56.184025
128745,71,purchase,jacket,red,106.83,2026-02-09 08:02:56.184027
463874,465,view,socks,red,40.22,2025-12-31 08:02:56.184033
602721,289,view,tshirt,black,81.35,2026-01-07 08:02:56.184036
102864,398,purchase,socks,blue,80.14,2026-01-02 08:02:56.184038
492192,301,add_to_cart,shoes,blue,77.88,2025-12-27 08:02:56.184041
283247,47,purchase,jacket,blue,9.13,2026-01-31 08:02:56.184044
973117,162,add_to_cart,shoes,blue,98.27,2026-01-10 08:02:56.184047
209963,106,add_to_cart,socks,black,46.28,2025-12-31 08:02:56.184049
848660,121,add_to_cart,socks,black,90.54,2026-02-13 08:02:56.184052
858771,65,view,jacket,red,7.93,2026-01-16 08:02:56.184055
231926,440,view,tshirt,red,26.34,2026-01-21 08:02:56.184058
471795,332,view,jacket,blue,74.81,2026-01-08 08:02:56.184061
206382,116,view,tshirt,green,111.07,2026-01-24 08:02:56.184064
911008,8,view,socks,red,93.47,2026-01-12 08:02:56.184066
636167,499,purchase,tshirt,blue,119.97,2025-12-28 08:02:56.184069
788507,442,add_to_cart,tshirt,white,68.79,2025-12-31 08:02:56.184072
563417,301,purchase,socks,green,101.47,2026-01-18 08:02:56.184075
659995,439,add_to_cart,shoes,red,119.44,2025-12-22 08:02:56.184078
584912,344,view,jacket,red,102.87,2026-01-31 08:02:56.184081
544316,386,view,socks,green,16.56,2026-01-23 08:02:56.184086
919365,482,view,shoes,red,13.23,2026-02-09 08:02:56.184089
359340,270,add_to_cart,jacket,white,15.64,2026-01-02 08:02:56.184091
103767,177,purchase,jacket,black,87.43,2026-01-27 08:02:56.184094
569906,267,purchase,jacket,green,38.57,2026-01-21 08:02:56.184097
917359,186,add_to_cart,jacket,white,86.03,2026-01-03 08:02:56.184100
643866,423,view,shoes,black,6.01,2026-02-02 08:02:56.184103
388296,139,purchase,socks,white,25.07,2026-01-03 08:02:56.184105
555076,150,view,tshirt,black,66.51,2026-02-06 08:02:56.184109
413766,92,add_to_cart,socks,red,96.95,2026-01-17 08:02:56.184111
947577,281,view,jacket,blue,28.63,2025-12-26 08:02:56.184114
867753,18,view,shoes,green,83.27,2026-02-19 08:02:56.184117
272306,462,add_to_cart,jacket,green,103.64,2026-01-20 08:02:56.184120
235275,486,add_to_cart,socks,black,110.71,2026-01-24 08:02:56.184123
830272,82,view,tshirt,white,35.56,2026-02-16 08:02:56.184126
729362,39,view,socks,white,9.03,2026-01-25 08:02:56.184128
716072,265,purchase,tshirt,black,32.3,2026-02-03 08:02:56.184131
748514,453,purchase,jacket,white,105.07,2026-01-11 08:02:56.184134
880715,258,purchase,tshirt,white,22.82,2025-12-31 08:02:56.184139
844187,465,add_to_cart,jacket,blue,78.35,2026-01-13 08:02:56.184142
105293,123,view,jacket,white,45.5,2026-01-05 08:02:56.184144
505495,352,purchase,shoes,green,109.68,2026-02-11 08:02:56.184147
143987,215,add_to_cart,jacket,white,59.48,2025-12-27 08:02:56.184150
772472,289,view,jacket,blue,21.3,2025-12-28 08:02:56.184152
180824,405,purchase,tshirt,red,40.15,2026-02-13 08:02:56.184155
229730,357,add_to_cart,jacket,green,26.27,2026-01-20 08:02:56.184158
773292,177,add_to_cart,socks,blue,24.84,2026-01-28 08:02:56.184160
789152,70,add_to_cart,jacket,black,30.49,2026-01-01 08:02:56.184163
608847,60,purchase,shoes,blue,88.43,2026-02-01 08:02:56.184166
607316,113,view,tshirt,black,87.05,2026-01-14 08:02:56.184168
230854,428,view,jacket,blue,27.43,2026-01-23 08:02:56.184171
639454,203,view,socks,black,22.27,2026-01-05 08:02:56.184174
734588,404,view,jacket,red,57.84,2026-02-10 08:02:56.184176
189388,288,add_to_cart,tshirt,blue,59.72,2026-01-27 08:02:56.184179
566156,384,purchase,jacket,blue,59.91,2026-01-16 08:02:56.184181
794186,400,purchase,socks,black,97.39,2026-01-17 08:02:56.184184
469464,473,purchase,jacket,white,64.35,2026-01-30 08:02:56.184188
860874,152,view,shoes,green,99.65,2026-01-15 08:02:56.184193
524759,317,purchase,jacket,black,72.7,2026-02-19 08:02:56.184196
594822,317,view,tshirt,white,54.88,2026-02-17 08:02:56.184199
575849,183,view,tshirt,white,10.94,2026-01-18 08:02:56.184202
929915,225,add_to_cart,jacket,black,88.2,2026-01-15 08:02:56.184204
253707,483,add_to_cart,tshirt,blue,84.67,2026-02-15 08:02:56.184207
765908,194,add_to_cart,shoes,black,40.78,2025-12-28 08:02:56.184210
268723,122,add_to_cart,shoes,blue,105.31,2026-02-01 08:02:56.184212
759884,260,view,shoes,red,104.75,2026-01-12 08:02:56.184215
184676,289,purchase,shoes,green,53.03,2026-02-03 08:02:56.184217
767025,281,purchase,jacket,white,16.8,2025-12-27 08:02:56.184220
971230,386,add_to_cart,socks,white,68.48,2026-02-08 08:02:56.184223
598057,378,purchase,socks,red,13.04,2025-12-23 08:02:56.184226
648481,421,purchase,jacket,blue,91.19,2026-02-05 08:02:56.184229
756194,85,purchase,jacket,blue,105.18,2026-01-08 08:02:56.184231
183997,488,view,tshirt,green,78.47,2025-12-25 08:02:56.184234
131911,271,view,shoes,red,41.6,2025-12-25 08:02:56.184236
129201,112,add_to_cart,jacket,black,12.24,2025-12-24 08:02:56.184239
548717,73,add_to_cart,shoes,white,85.45,2026-01-24 08:02:56.184246
982016,127,add_to_cart,tshirt,red,97.4,2026-01-25 08:02:56.184249
633893,6,purchase,socks,black,58.08,2026-01-09 08:02:56.184251
318595,72,view,tshirt,white,22.76,2025-12-22 08:02:56.184255
854495,148,view,socks,white,92.22,2026-01-25 08:02:56.184257
876988,375,add_to_cart,tshirt,red,16.22,2026-02-03 08:02:56.184260
456644,159,purchase,shoes,white,27.4,2026-01-05 08:02:56.184264
969525,314,add_to_cart,socks,red,33.73,2026-01-19 08:02:56.184267
152511,60,purchase,socks,green,47.2,2026-02-19 08:02:56.184270
952818,237,purchase,jacket,green,17.17,2026-01-01 08:02:56.184272
418443,442,purchase,tshirt,red,25.51,2026-01-12 08:02:56.184275
723175,442,view,socks,white,116.94,2026-01-14 08:02:56.184277
938878,279,add_to_cart,tshirt,red,91.61,2026-01-02 08:02:56.184280
183224,111,view,shoes,black,17.79,2026-01-21 08:02:56.184283
893127,211,add_to_cart,jacket,green,23.33,2026-02-02 08:02:56.184285
894825,441,view,shoes,blue,102.99,2026-01-04 08:02:56.184288
164107,309,view,tshirt,blue,95.65,2025-12-26 08:02:56.184291
260363,455,purchase,shoes,red,76.6,2025-12-31 08:02:56.184293
545869,111,purchase,tshirt,blue,59.34,2026-02-11 08:02:56.184298
818069,300,view,shoes,green,10.05,2026-01-31 08:02:56.184301
202528,96,add_to_cart,shoes,green,34.85,2026-01-01 08:02:56.184304
868754,286,view,shoes,white,35.25,2026-01-19 08:02:56.184307
256151,93,purchase,jacket,blue,41.03,2025-12-24 08:02:56.184309
363688,62,purchase,tshirt,green,6.04,2026-02-15 08:02:56.184312
364417,468,view,socks,black,13.98,2026-01-04 08:02:56.184315
970231,458,add_to_cart,socks,red,20.24,2025-12-22 08:02:56.184318
484904,443,add_to_cart,tshirt,red,64.48,2026-02-16 08:02:56.184321
232517,274,purchase,tshirt,black,14.1,2026-01-26 08:02:56.184326
256616,383,add_to_cart,shoes,blue,37.61,2026-02-14 08:02:56.184330
533694,345,purchase,jacket,blue,38.2,2026-01-10 08:02:56.184333
477953,108,view,jacket,black,26.46,2026-01-18 08:02:56.184335
333993,247,view,tshirt,black,39.21,2026-01-19 08:02:56.184339
138613,480,add_to_cart,jacket,black,54.7,2026-02-06 08:02:56.184341
850121,190,add_to_cart,jacket,red,54.7,2026-02-16 08:02:56.184344
689826,5,add_to_cart,jacket,black,46.46,2026-02-09 08:02:56.184347
379774,150,add_to_cart,shoes,red,100.66,2026-01-11 08:02:56.184350
295365,168,add_to_cart,shoes,red,103.32,2026-01-29 08:02:56.184356
378252,134,add_to_cart,tshirt,red,27.98,2025-12-23 08:02:56.184359
175994,316,view,jacket,green,25.11,2026-01-27 08:02:56.184362
366546,468,purchase,shoes,white,95.51,2026-01-21 08:02:56.184365
502977,130,add_to_cart,tshirt,red,25.26,2026-02-01 08:02:56.184367
550481,433,view,tshirt,green,95.26,2025-12-30 08:02:56.184370
465553,476,purchase,tshirt,green,52.51,2025-12-24 08:02:56.184373
575841,49,purchase,socks,green,24.52,2026-01-23 08:02:56.184376
890331,327,view,shoes,blue,75.9,2026-01-23 08:02:56.184378
494773,497,add_to_cart,shoes,white,106.21,2026-02-17 08:02:56.184381
379614,58,purchase,jacket,black,67.24,2026-01-04 08:02:56.184384
675093,68,add_to_cart,socks,white,102.44,2026-02-17 08:02:56.184386
113059,245,purchase,jacket,blue,46.67,2026-01-21 08:02:56.184389
196124,214,add_to_cart,tshirt,green,31.53,2026-01-07 08:02:56.184391
894584,460,add_to_cart,socks,black,62.45,2026-01-31 08:02:56.184394
263680,306,add_to_cart,socks,red,88.49,2026-01-25 08:02:56.184396
982228,383,view,tshirt,green,23.31,2026-02-08 08:02:56.184399
599198,255,view,tshirt,black,88.92,2026-01-13 08:02:56.184402
925671,258,purchase,tshirt,white,44.81,2026-01-04 08:02:56.184404
102319,27,view,jacket,green,108.28,2026-01-27 08:02:56.184410
662179,329,purchase,tshirt,red,33.08,2025-12-28 08:02:56.184413
512358,176,purchase,tshirt,blue,100.46,2026-01-27 08:02:56.184415
563240,421,add_to_cart,tshirt,black,97.68,2026-01-11 08:02:56.184418
616099,442,add_to_cart,socks,black,66.01,2026-02-10 08:02:56.184421
409805,111,purchase,shoes,red,29.44,2026-02-11 08:02:56.184424
155252,90,add_to_cart,tshirt,blue,119.44,2026-02-14 08:02:56.184426
910322,464,view,tshirt,black,16.03,2026-01-09 08:02:56.184429
